,Time,TotalValue,Cash,CashAvailable,CashFrozen,InitCash,SecurityValue
0,2016-01-04 00:00:00.000,100000.0,100000.0,100000.0,0,100000.0,0
0,2016-01-04 00:00:00.000,99960.67355,33113.67355,27835.03555,5278.638,100000.0,66847.0
0,2016-01-05 00:00:00.000,100370.99345,30830.99345,30830.99345,0.0,100000.0,69540.0
0,2016-01-06 00:00:00.000,101161.28735,28522.28735,28522.28735,0.0,100000.0,72639.0
0,2016-01-07 00:00:00.000,97441.69925,26331.69925,26331.69925,0.0,100000.0,71110.0
0,2016-01-08 00:00:00.000,98609.07515,24105.07515,24105.07515,0.0,100000.0,74504.0
0,2016-01-11 00:00:00.000,96194.52305,21950.52305,21950.52305,0.0,100000.0,74244.0
0,2016-01-12 00:00:00.000,96536.96095,19785.96095,19785.96095,0.0,100000.0,76751.0
0,2016-01-13 00:00:00.000,95824.41885,17641.41885,17641.41885,0.0,100000.0,78183.0
0,2016-01-14 00:00:00.000,96259.86475,15484.86475,15484.86475,0.0,100000.0,80775.0
0,2016-01-15 00:00:00.000,93932.37265,13390.37265,13390.37265,0.0,100000.0,80542.0
0,2016-01-18 00:00:00.000,93544.89055,11305.89055,11305.89055,0.0,100000.0,82239.0
0,2016-01-19 00:00:00.000,95912.34845,9161.34845,9161.34845,0.0,100000.0,86751.0
0,2016-01-20 00:00:00.000,94532.84035,7050.84035,7050.84035,0.0,100000.0,87482.0
0,2016-01-21 00:00:00.000,92704.37625,4984.37625,4984.37625,0.0,100000.0,87720.0
0,2016-01-22 00:00:00.000,93381.89615,2901.89615,2901.89615,0.0,100000.0,90480.0
0,2016-01-25 00:00:00.000,93118.42205,825.42205,825.42205,0.0,100000.0,92293.0
0,2016-01-26 00:00:00.000,88667.23505,824.23505,824.23505,0.0,100000.0,87843.0
0,2016-01-27 00:00:00.000,88755.04705,823.04705,823.04705,0.0,100000.0,87932.0
0,2016-01-28 00:00:00.000,87062.87805,821.87805,821.87805,0.0,100000.0,86241.0
0,2016-01-29 00:00:00.000,89820.67805,820.67805,820.67805,0.0,100000.0,89000.0
