,Code,Direction,Price,Volume,VolumeMatched,State,AvgMatchingPrice,OrderTime,OrderNum,Mkt,Account,Config
14,000001.SZSE,1,0,6000,0,NotMatched,0,2016-01-05 00:00:00,14,Mkt,<CounterMod.Account object at 0x0000000008911898>,"{'OrderCancelReson': 'CashAvailable not enough!', 'CashFrozen': 0}"
15,000001.SZSE,1,0,100,100,AllMatched,11.4067005,2016-01-05 00:00:00,15,Mkt,<CounterMod.Account object at 0x0000000008911898>,{'CashFrozen': 0}
16,000001.SZSE,1,0,100,100,AllMatched,11.4067005,2016-01-05 00:00:00,16,Mkt,<CounterMod.Account object at 0x0000000008911898>,{'CashFrozen': 0}
17,000001.SZSE,1,0,10000000000,0,NotMatched,0,2016-01-06 00:00:00,17,Mkt,<CounterMod.Account object at 0x0000000008911898>,"{'OrderCancelReson': 'CashAvailable not enough!', 'CashFrozen': 0}"
18,000001.SZSE,0,0,100,100,AllMatched,11.5232355,2016-01-06 00:00:00,18,Mkt,<CounterMod.Account object at 0x0000000008911898>,{'CashFrozen': 0}
19,000001.SZSE,1,100,100,0,NotMatched,0,2016-01-06 00:00:00,19,Mkt,<CounterMod.Account object at 0x0000000008911898>,"{'OrderCancelReson': 'Wrong order price!', 'CashFrozen': 0}"
20,000001.SZSE,1,0.01,100,0,NotMatched,0,2016-01-06 00:00:00,20,Mkt,<CounterMod.Account object at 0x0000000008911898>,"{'OrderCancelReson': 'Wrong order price!', 'CashFrozen': 0}"
21,000001.SZSE,1,0,100,100,AllMatched,11.5367655,2016-01-06 00:00:00,21,Mkt,<CounterMod.Account object at 0x0000000008911898>,{'CashFrozen': 0}
22,000001.SZSE,1,0,6000,0,NotMatched,0,2016-01-06 00:00:00,22,Mkt,<CounterMod.Account object at 0x0000000008911898>,"{'OrderCancelReson': 'CashAvailable not enough!', 'CashFrozen': 0}"
23,000001.SZSE,1,0,100,100,AllMatched,11.5367655,2016-01-06 00:00:00,23,Mkt,<CounterMod.Account object at 0x0000000008911898>,{'CashFrozen': 0}
24,000001.SZSE,1,0,100,100,AllMatched,11.5367655,2016-01-06 00:00:00,24,Mkt,<CounterMod.Account object at 0x0000000008911898>,{'CashFrozen': 0}
25,000001.SZSE,1,0,10000000000,0,NotMatched,0,2016-01-07 00:00:00,25,Mkt,<CounterMod.Account object at 0x0000000008911898>,"{'OrderCancelReson': 'CashAvailable not enough!', 'CashFrozen': 0}"
26,000001.SZSE,0,0,100,100,AllMatched,10.9335305,2016-01-07 00:00:00,26,Mkt,<CounterMod.Account object at 0x0000000008911898>,{'CashFrozen': 0}
27,000001.SZSE,1,100,100,0,NotMatched,0,2016-01-07 00:00:00,27,Mkt,<CounterMod.Account object at 0x0000000008911898>,"{'OrderCancelReson': 'Wrong order price!', 'CashFrozen': 0}"
28,000001.SZSE,1,0.01,100,0,NotMatched,0,2016-01-07 00:00:00,28,Mkt,<CounterMod.Account object at 0x0000000008911898>,"{'OrderCancelReson': 'Wrong order price!', 'CashFrozen': 0}"
29,000001.SZSE,1,0,100,100,AllMatched,10.9464705,2016-01-07 00:00:00,29,Mkt,<CounterMod.Account object at 0x0000000008911898>,{'CashFrozen': 0}
30,000001.SZSE,1,0,6000,0,NotMatched,0,2016-01-07 00:00:00,30,Mkt,<CounterMod.Account object at 0x0000000008911898>,"{'OrderCancelReson': 'CashAvailable not enough!', 'CashFrozen': 0}"
31,000001.SZSE,1,0,100,100,AllMatched,10.9464705,2016-01-07 00:00:00,31,Mkt,<CounterMod.Account object at 0x0000000008911898>,{'CashFrozen': 0}
32,000001.SZSE,1,0,100,100,AllMatched,10.9464705,2016-01-07 00:00:00,32,Mkt,<CounterMod.Account object at 0x0000000008911898>,{'CashFrozen': 0}
33,000001.SZSE,1,0,10000000000,0,NotMatched,0,2016-01-08 00:00:00,33,Mkt,<CounterMod.Account object at 0x0000000008911898>,"{'OrderCancelReson': 'CashAvailable not enough!', 'CashFrozen': 0}"
34,000001.SZSE,0,0,100,100,AllMatched,11.1134405,2016-01-08 00:00:00,34,Mkt,<CounterMod.Account object at 0x0000000008911898>,{'CashFrozen': 0}
35,000001.SZSE,1,100,100,0,NotMatched,0,2016-01-08 00:00:00,35,Mkt,<CounterMod.Account object at 0x0000000008911898>,"{'OrderCancelReson': 'Wrong order price!', 'CashFrozen': 0}"
36,000001.SZSE,1,0.01,100,0,NotMatched,0,2016-01-08 00:00:00,36,Mkt,<CounterMod.Account object at 0x0000000008911898>,"{'OrderCancelReson': 'Wrong order price!', 'CashFrozen': 0}"
37,000001.SZSE,1,0,100,100,AllMatched,11.1265605,2016-01-08 00:00:00,37,Mkt,<CounterMod.Account object at 0x0000000008911898>,{'CashFrozen': 0}
38,000001.SZSE,1,0,6000,0,NotMatched,0,2016-01-08 00:00:00,38,Mkt,<CounterMod.Account object at 0x0000000008911898>,"{'OrderCancelReson': 'CashAvailable not enough!', 'CashFrozen': 0}"
39,000001.SZSE,1,0,100,100,AllMatched,11.1265605,2016-01-08 00:00:00,39,Mkt,<CounterMod.Account object at 0x0000000008911898>,{'CashFrozen': 0}
40,000001.SZSE,1,0,100,100,AllMatched,11.1265605,2016-01-08 00:00:00,40,Mkt,<CounterMod.Account object at 0x0000000008911898>,{'CashFrozen': 0}
41,000001.SZSE,1,0,10000000000,0,NotMatched,0,2016-01-11 00:00:00,41,Mkt,<CounterMod.Account object at 0x0000000008911898>,"{'OrderCancelReson': 'CashAvailable not enough!', 'CashFrozen': 0}"
42,000001.SZSE,0,0,100,100,AllMatched,10.7536205,2016-01-11 00:00:00,42,Mkt,<CounterMod.Account object at 0x0000000008911898>,{'CashFrozen': 0}
43,000001.SZSE,1,100,100,0,NotMatched,0,2016-01-11 00:00:00,43,Mkt,<CounterMod.Account object at 0x0000000008911898>,"{'OrderCancelReson': 'Wrong order price!', 'CashFrozen': 0}"
