,Time,TotalValue,Cash,CashAvailable,CashFrozen,InitCash,SecurityValue
0,2016-01-04 00:00:00.000,100000.0,100000.0,100000.0,0,100000.0,0
0,2016-01-04 00:00:00.000,99999.33345,98866.33345,98866.33345,0.0,100000.0,1133.0
0,2016-01-05 00:00:00.000,100005.6634,97725.6634,97725.6634,0.0,100000.0,2280.0
0,2016-01-06 00:00:00.000,100030.98685,96571.98685,96571.98685,0.0,100000.0,3459.0
0,2016-01-07 00:00:00.000,99853.3398,95477.3398,95477.3398,0.0,100000.0,4376.0
0,2016-01-08 00:00:00.000,99924.68375,94364.68375,94364.68375,0.0,100000.0,5560.0
0,2016-01-11 00:00:00.000,99744.0457,93288.0457,93288.0457,0.0,100000.0,6456.0
0,2016-01-12 00:00:00.000,99773.40515,92206.40515,92206.40515,0.0,100000.0,7567.0
0,2016-01-13 00:00:00.000,99702.7696,91134.7696,91134.7696,0.0,100000.0,8568.0
0,2016-01-14 00:00:00.000,99750.13105,90057.13105,90057.13105,0.0,100000.0,9693.0
0,2016-01-15 00:00:00.000,99470.508,89010.508,89010.508,0.0,100000.0,10460.0
0,2016-01-18 00:00:00.000,99419.88745,87968.88745,87968.88745,0.0,100000.0,11451.0
0,2016-01-19 00:00:00.000,99749.2519,86897.2519,86897.2519,0.0,100000.0,12852.0
0,2016-01-20 00:00:00.000,99544.62485,85842.62485,85842.62485,0.0,100000.0,13702.0
0,2016-01-21 00:00:00.000,99258.0088,84810.0088,84810.0088,0.0,100000.0,14448.0
0,2016-01-22 00:00:00.000,99369.38875,83769.38875,83769.38875,0.0,100000.0,15600.0
0,2016-01-25 00:00:00.000,99323.7702,82731.7702,82731.7702,0.0,100000.0,16592.0
0,2016-01-26 00:00:00.000,98523.17665,81744.17665,81744.17665,0.0,100000.0,16779.0
0,2016-01-27 00:00:00.000,98539.5826,80755.5826,80755.5826,0.0,100000.0,17784.0
0,2016-01-28 00:00:00.000,98196.99805,79785.99805,79785.99805,0.0,100000.0,18411.0
0,2016-01-29 00:00:00.000,98785.398,78785.398,78785.398,0.0,100000.0,20000.0
0,2016-02-01 00:00:00.000,98384.80795,77804.80795,77804.80795,0.0,100000.0,20580.0
0,2016-02-02 00:00:00.000,98699.2104,76809.2104,76809.2104,0.0,100000.0,21890.0
0,2016-02-03 00:00:00.000,98478.61785,75823.61785,75823.61785,0.0,100000.0,22655.0
0,2016-02-04 00:00:00.000,98708.0203,74828.0203,74828.0203,0.0,100000.0,23880.0
0,2016-02-05 00:00:00.000,98635.42425,73835.42425,73835.42425,0.0,100000.0,24800.0
0,2016-02-15 00:00:00.000,98309.8347,72855.8347,72855.8347,0.0,100000.0,25454.0
0,2016-02-16 00:00:00.000,98881.23415,71854.23415,71854.23415,0.0,100000.0,27027.0
0,2016-02-17 00:00:00.000,99258.6266,70838.6266,70838.6266,0.0,100000.0,28420.0
0,2016-02-18 00:00:00.000,99090.02205,69829.02205,69829.02205,0.0,100000.0,29261.0
0,2016-02-19 00:00:00.000,98944.42,68824.42,68824.42,0.0,100000.0,30120.0
