,MatchingTime,Code,Direction,Price,Volume,VolumeMatched,State,AvgMatchingPrice,MatchingVol,OrderTime,OrderNum,CloseProfit,Mkt,Account,Config
27,2016-01-12 00:00:00,000001.SZSE,1,0,100,100,AllMatched,10.8164055,100,2016-01-12 00:00:00,55,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
28,2016-01-12 00:00:00,000001.SZSE,1,0,100,100,AllMatched,10.8164055,100,2016-01-12 00:00:00,56,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
29,2016-01-13 00:00:00,000001.SZSE,0,0,100,100,AllMatched,10.7036455,100,2016-01-13 00:00:00,58,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
30,2016-01-13 00:00:00,000001.SZSE,1,0,100,100,AllMatched,10.7163555,100,2016-01-13 00:00:00,61,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
31,2016-01-13 00:00:00,000001.SZSE,1,0,100,100,AllMatched,10.7163555,100,2016-01-13 00:00:00,63,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
32,2016-01-13 00:00:00,000001.SZSE,1,0,100,100,AllMatched,10.7163555,100,2016-01-13 00:00:00,64,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
33,2016-01-14 00:00:00,000001.SZSE,0,0,100,100,AllMatched,10.7636155,100,2016-01-14 00:00:00,66,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
34,2016-01-14 00:00:00,000001.SZSE,1,0,100,100,AllMatched,10.7763855,100,2016-01-14 00:00:00,69,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
35,2016-01-14 00:00:00,000001.SZSE,1,0,100,100,AllMatched,10.7763855,100,2016-01-14 00:00:00,71,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
36,2016-01-14 00:00:00,000001.SZSE,1,0,100,100,AllMatched,10.7763855,100,2016-01-14 00:00:00,72,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
37,2016-01-15 00:00:00,000001.SZSE,0,0,100,100,AllMatched,10.4537705,100,2016-01-15 00:00:00,74,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
38,2016-01-15 00:00:00,000001.SZSE,1,0,100,100,AllMatched,10.4662305,100,2016-01-15 00:00:00,77,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
39,2016-01-15 00:00:00,000001.SZSE,1,0,100,100,AllMatched,10.4662305,100,2016-01-15 00:00:00,79,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
40,2016-01-15 00:00:00,000001.SZSE,1,0,100,100,AllMatched,10.4662305,100,2016-01-15 00:00:00,80,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
41,2016-01-18 00:00:00,000001.SZSE,0,0,100,100,AllMatched,10.4037955,100,2016-01-18 00:00:00,82,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
42,2016-01-18 00:00:00,000001.SZSE,1,0,100,100,AllMatched,10.4162055,100,2016-01-18 00:00:00,85,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
43,2016-01-18 00:00:00,000001.SZSE,1,0,100,100,AllMatched,10.4162055,100,2016-01-18 00:00:00,87,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
44,2016-01-18 00:00:00,000001.SZSE,1,0,100,100,AllMatched,10.4162055,100,2016-01-18 00:00:00,88,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
45,2016-01-19 00:00:00,000001.SZSE,0,0,100,100,AllMatched,10.7036455,100,2016-01-19 00:00:00,90,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
46,2016-01-19 00:00:00,000001.SZSE,1,0,100,100,AllMatched,10.7163555,100,2016-01-19 00:00:00,93,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
47,2016-01-19 00:00:00,000001.SZSE,1,0,100,100,AllMatched,10.7163555,100,2016-01-19 00:00:00,95,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
48,2016-01-19 00:00:00,000001.SZSE,1,0,100,100,AllMatched,10.7163555,100,2016-01-19 00:00:00,96,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
49,2016-01-20 00:00:00,000001.SZSE,0,0,100,100,AllMatched,10.5337305,100,2016-01-20 00:00:00,98,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
50,2016-01-20 00:00:00,000001.SZSE,1,0,100,100,AllMatched,10.5462705,100,2016-01-20 00:00:00,101,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
51,2016-01-20 00:00:00,000001.SZSE,1,0,100,100,AllMatched,10.5462705,100,2016-01-20 00:00:00,103,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
52,2016-01-20 00:00:00,000001.SZSE,1,0,100,100,AllMatched,10.5462705,100,2016-01-20 00:00:00,104,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
53,2016-01-21 00:00:00,000001.SZSE,0,0,100,100,AllMatched,10.3138405,100,2016-01-21 00:00:00,106,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
54,2016-01-21 00:00:00,000001.SZSE,1,0,100,100,AllMatched,10.3261605,100,2016-01-21 00:00:00,109,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
55,2016-01-21 00:00:00,000001.SZSE,1,0,100,100,AllMatched,10.3261605,100,2016-01-21 00:00:00,111,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
56,2016-01-21 00:00:00,000001.SZSE,1,0,100,100,AllMatched,10.3261605,100,2016-01-21 00:00:00,112,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
57,2016-01-22 00:00:00,000001.SZSE,0,0,100,100,AllMatched,10.3938005,100,2016-01-22 00:00:00,114,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
58,2016-01-22 00:00:00,000001.SZSE,1,0,100,100,AllMatched,10.4062005,100,2016-01-22 00:00:00,117,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
59,2016-01-25 00:00:00,000001.SZSE,0,0,100,100,AllMatched,10.3638155,100,2016-01-25 00:00:00,122,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
60,2016-01-25 00:00:00,000001.SZSE,1,0,100,100,AllMatched,10.3761855,100,2016-01-25 00:00:00,125,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
61,2016-01-26 00:00:00,000001.SZSE,0,0,100,100,AllMatched,9.8640655,100,2016-01-26 00:00:00,130,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
62,2016-01-26 00:00:00,000001.SZSE,1,0,100,100,AllMatched,9.8759355,100,2016-01-26 00:00:00,133,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
63,2016-01-27 00:00:00,000001.SZSE,0,0,100,100,AllMatched,9.8740605,100,2016-01-27 00:00:00,138,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
64,2016-01-27 00:00:00,000001.SZSE,1,0,100,100,AllMatched,9.8859405,100,2016-01-27 00:00:00,141,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
65,2016-01-28 00:00:00,000001.SZSE,0,0,100,100,AllMatched,9.6841555,100,2016-01-28 00:00:00,146,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
66,2016-01-28 00:00:00,000001.SZSE,1,0,100,100,AllMatched,9.6958455,100,2016-01-28 00:00:00,149,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
67,2016-01-29 00:00:00,000001.SZSE,0,0,100,100,AllMatched,9.9940005,100,2016-01-29 00:00:00,154,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
68,2016-01-29 00:00:00,000001.SZSE,1,0,100,100,AllMatched,10.0060005,100,2016-01-29 00:00:00,157,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
69,2016-02-01 00:00:00,000001.SZSE,0,0,100,100,AllMatched,9.7941005,100,2016-02-01 00:00:00,162,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
70,2016-02-01 00:00:00,000001.SZSE,1,0,100,100,AllMatched,9.8059005,100,2016-02-01 00:00:00,165,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
71,2016-02-02 00:00:00,000001.SZSE,0,0,100,100,AllMatched,9.9440255,100,2016-02-02 00:00:00,170,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
72,2016-02-02 00:00:00,000001.SZSE,1,0,100,100,AllMatched,9.9559755,100,2016-02-02 00:00:00,173,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
73,2016-02-03 00:00:00,000001.SZSE,0,0,100,100,AllMatched,9.8440755,100,2016-02-03 00:00:00,178,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
74,2016-02-03 00:00:00,000001.SZSE,1,0,100,100,AllMatched,9.8559255,100,2016-02-03 00:00:00,181,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
75,2016-02-04 00:00:00,000001.SZSE,0,0,100,100,AllMatched,9.9440255,100,2016-02-04 00:00:00,186,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
