,Code,Direction,Price,Volume,VolumeMatched,State,AvgMatchingPrice,OrderTime,OrderNum,Mkt,Account,Config
1,000001.SZSE,1,0,10000000000,0,OrderCancel,0,2016-01-04 00:00:00,1,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'CashAvailable not enough!'}"
2,000001.SZSE,0,0,100,0,OrderCancel,0,2016-01-04 00:00:00,2,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'VolA not enough!'}"
3,000001.SZSE,1,100,100,0,OrderCancel,0,2016-01-04 00:00:00,3,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'Wrong order price!'}"
4,000001.SZSE,1,0.01,100,0,OrderCancel,0,2016-01-04 00:00:00,4,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'Wrong order price!'}"
5,000001.SZSE,1,0,100,100,AllMatched,11.3366655,2016-01-04 00:00:00,5,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
6,000001.SZSE,1,0,6000,6000,AllMatched,11.3366655,2016-01-04 00:00:00,6,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
7,000001.SZSE,1,0,100,100,AllMatched,11.3366655,2016-01-04 00:00:00,7,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
8,000001.SZSE,1,0,100,100,AllMatched,11.3366655,2016-01-04 00:00:00,8,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
9,000001.SZSE,1,0,10000000000,0,OrderCancel,0,2016-01-05 00:00:00,9,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'CashAvailable not enough!'}"
10,000001.SZSE,0,0,100,100,AllMatched,11.3933005,2016-01-05 00:00:00,10,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
11,000001.SZSE,1,100,100,0,OrderCancel,0,2016-01-05 00:00:00,11,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'Wrong order price!'}"
12,000001.SZSE,1,0.01,100,0,OrderCancel,0,2016-01-05 00:00:00,12,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'Wrong order price!'}"
13,000001.SZSE,1,0,100,100,AllMatched,11.4067005,2016-01-05 00:00:00,13,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
14,000001.SZSE,1,0,6000,0,OrderCancel,0,2016-01-05 00:00:00,14,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'CashAvailable not enough!'}"
15,000001.SZSE,1,0,100,100,AllMatched,11.4067005,2016-01-05 00:00:00,15,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
16,000001.SZSE,1,0,100,100,AllMatched,11.4067005,2016-01-05 00:00:00,16,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
17,000001.SZSE,1,0,10000000000,0,OrderCancel,0,2016-01-06 00:00:00,17,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'CashAvailable not enough!'}"
18,000001.SZSE,0,0,100,100,AllMatched,11.5232355,2016-01-06 00:00:00,18,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
19,000001.SZSE,1,100,100,0,OrderCancel,0,2016-01-06 00:00:00,19,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'Wrong order price!'}"
20,000001.SZSE,1,0.01,100,0,OrderCancel,0,2016-01-06 00:00:00,20,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'Wrong order price!'}"
21,000001.SZSE,1,0,100,100,AllMatched,11.5367655,2016-01-06 00:00:00,21,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
22,000001.SZSE,1,0,6000,0,OrderCancel,0,2016-01-06 00:00:00,22,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'CashAvailable not enough!'}"
23,000001.SZSE,1,0,100,100,AllMatched,11.5367655,2016-01-06 00:00:00,23,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
24,000001.SZSE,1,0,100,100,AllMatched,11.5367655,2016-01-06 00:00:00,24,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
25,000001.SZSE,1,0,10000000000,0,OrderCancel,0,2016-01-07 00:00:00,25,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'CashAvailable not enough!'}"
26,000001.SZSE,0,0,100,100,AllMatched,10.9335305,2016-01-07 00:00:00,26,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
27,000001.SZSE,1,100,100,0,OrderCancel,0,2016-01-07 00:00:00,27,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'Wrong order price!'}"
28,000001.SZSE,1,0.01,100,0,OrderCancel,0,2016-01-07 00:00:00,28,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'Wrong order price!'}"
29,000001.SZSE,1,0,100,100,AllMatched,10.9464705,2016-01-07 00:00:00,29,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
30,000001.SZSE,1,0,6000,0,OrderCancel,0,2016-01-07 00:00:00,30,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'CashAvailable not enough!'}"
31,000001.SZSE,1,0,100,100,AllMatched,10.9464705,2016-01-07 00:00:00,31,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
32,000001.SZSE,1,0,100,100,AllMatched,10.9464705,2016-01-07 00:00:00,32,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
33,000001.SZSE,1,0,10000000000,0,OrderCancel,0,2016-01-08 00:00:00,33,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'CashAvailable not enough!'}"
34,000001.SZSE,0,0,100,100,AllMatched,11.1134405,2016-01-08 00:00:00,34,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
35,000001.SZSE,1,100,100,0,OrderCancel,0,2016-01-08 00:00:00,35,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'Wrong order price!'}"
36,000001.SZSE,1,0.01,100,0,OrderCancel,0,2016-01-08 00:00:00,36,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'Wrong order price!'}"
37,000001.SZSE,1,0,100,100,AllMatched,11.1265605,2016-01-08 00:00:00,37,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
38,000001.SZSE,1,0,6000,0,OrderCancel,0,2016-01-08 00:00:00,38,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'CashAvailable not enough!'}"
39,000001.SZSE,1,0,100,100,AllMatched,11.1265605,2016-01-08 00:00:00,39,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
40,000001.SZSE,1,0,100,100,AllMatched,11.1265605,2016-01-08 00:00:00,40,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
41,000001.SZSE,1,0,10000000000,0,OrderCancel,0,2016-01-11 00:00:00,41,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'CashAvailable not enough!'}"
42,000001.SZSE,0,0,100,100,AllMatched,10.7536205,2016-01-11 00:00:00,42,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
43,000001.SZSE,1,100,100,0,OrderCancel,0,2016-01-11 00:00:00,43,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'Wrong order price!'}"
44,000001.SZSE,1,0.01,100,0,OrderCancel,0,2016-01-11 00:00:00,44,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'Wrong order price!'}"
45,000001.SZSE,1,0,100,100,AllMatched,10.7663805,2016-01-11 00:00:00,45,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
46,000001.SZSE,1,0,6000,0,OrderCancel,0,2016-01-11 00:00:00,46,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'CashAvailable not enough!'}"
47,000001.SZSE,1,0,100,100,AllMatched,10.7663805,2016-01-11 00:00:00,47,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
48,000001.SZSE,1,0,100,100,AllMatched,10.7663805,2016-01-11 00:00:00,48,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
49,000001.SZSE,1,0,10000000000,0,OrderCancel,0,2016-01-12 00:00:00,49,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'CashAvailable not enough!'}"
50,000001.SZSE,0,0,100,100,AllMatched,10.8035955,2016-01-12 00:00:00,50,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
51,000001.SZSE,1,100,100,0,OrderCancel,0,2016-01-12 00:00:00,51,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'Wrong order price!'}"
52,000001.SZSE,1,0.01,100,0,OrderCancel,0,2016-01-12 00:00:00,52,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'Wrong order price!'}"
53,000001.SZSE,1,0,100,100,AllMatched,10.8164055,2016-01-12 00:00:00,53,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
54,000001.SZSE,1,0,6000,0,OrderCancel,0,2016-01-12 00:00:00,54,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'CashAvailable not enough!'}"
55,000001.SZSE,1,0,100,100,AllMatched,10.8164055,2016-01-12 00:00:00,55,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
56,000001.SZSE,1,0,100,100,AllMatched,10.8164055,2016-01-12 00:00:00,56,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
57,000001.SZSE,1,0,10000000000,0,OrderCancel,0,2016-01-13 00:00:00,57,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'CashAvailable not enough!'}"
58,000001.SZSE,0,0,100,100,AllMatched,10.7036455,2016-01-13 00:00:00,58,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
59,000001.SZSE,1,100,100,0,OrderCancel,0,2016-01-13 00:00:00,59,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'Wrong order price!'}"
60,000001.SZSE,1,0.01,100,0,OrderCancel,0,2016-01-13 00:00:00,60,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'Wrong order price!'}"
61,000001.SZSE,1,0,100,100,AllMatched,10.7163555,2016-01-13 00:00:00,61,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
62,000001.SZSE,1,0,6000,0,OrderCancel,0,2016-01-13 00:00:00,62,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'CashAvailable not enough!'}"
63,000001.SZSE,1,0,100,100,AllMatched,10.7163555,2016-01-13 00:00:00,63,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
64,000001.SZSE,1,0,100,100,AllMatched,10.7163555,2016-01-13 00:00:00,64,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
65,000001.SZSE,1,0,10000000000,0,OrderCancel,0,2016-01-14 00:00:00,65,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'CashAvailable not enough!'}"
66,000001.SZSE,0,0,100,100,AllMatched,10.7636155,2016-01-14 00:00:00,66,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
67,000001.SZSE,1,100,100,0,OrderCancel,0,2016-01-14 00:00:00,67,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'Wrong order price!'}"
68,000001.SZSE,1,0.01,100,0,OrderCancel,0,2016-01-14 00:00:00,68,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'Wrong order price!'}"
69,000001.SZSE,1,0,100,100,AllMatched,10.7763855,2016-01-14 00:00:00,69,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
70,000001.SZSE,1,0,6000,0,OrderCancel,0,2016-01-14 00:00:00,70,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'CashAvailable not enough!'}"
71,000001.SZSE,1,0,100,100,AllMatched,10.7763855,2016-01-14 00:00:00,71,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
72,000001.SZSE,1,0,100,100,AllMatched,10.7763855,2016-01-14 00:00:00,72,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
73,000001.SZSE,1,0,10000000000,0,OrderCancel,0,2016-01-15 00:00:00,73,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'CashAvailable not enough!'}"
74,000001.SZSE,0,0,100,100,AllMatched,10.4537705,2016-01-15 00:00:00,74,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
75,000001.SZSE,1,100,100,0,OrderCancel,0,2016-01-15 00:00:00,75,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'Wrong order price!'}"
76,000001.SZSE,1,0.01,100,0,OrderCancel,0,2016-01-15 00:00:00,76,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'Wrong order price!'}"
77,000001.SZSE,1,0,100,100,AllMatched,10.4662305,2016-01-15 00:00:00,77,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
78,000001.SZSE,1,0,6000,0,OrderCancel,0,2016-01-15 00:00:00,78,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'CashAvailable not enough!'}"
79,000001.SZSE,1,0,100,100,AllMatched,10.4662305,2016-01-15 00:00:00,79,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
80,000001.SZSE,1,0,100,100,AllMatched,10.4662305,2016-01-15 00:00:00,80,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
81,000001.SZSE,1,0,10000000000,0,OrderCancel,0,2016-01-18 00:00:00,81,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'CashAvailable not enough!'}"
82,000001.SZSE,0,0,100,100,AllMatched,10.4037955,2016-01-18 00:00:00,82,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
83,000001.SZSE,1,100,100,0,OrderCancel,0,2016-01-18 00:00:00,83,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'Wrong order price!'}"
84,000001.SZSE,1,0.01,100,0,OrderCancel,0,2016-01-18 00:00:00,84,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'Wrong order price!'}"
85,000001.SZSE,1,0,100,100,AllMatched,10.4162055,2016-01-18 00:00:00,85,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
86,000001.SZSE,1,0,6000,0,OrderCancel,0,2016-01-18 00:00:00,86,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'CashAvailable not enough!'}"
87,000001.SZSE,1,0,100,100,AllMatched,10.4162055,2016-01-18 00:00:00,87,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
88,000001.SZSE,1,0,100,100,AllMatched,10.4162055,2016-01-18 00:00:00,88,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
89,000001.SZSE,1,0,10000000000,0,OrderCancel,0,2016-01-19 00:00:00,89,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'CashAvailable not enough!'}"
90,000001.SZSE,0,0,100,100,AllMatched,10.7036455,2016-01-19 00:00:00,90,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
91,000001.SZSE,1,100,100,0,OrderCancel,0,2016-01-19 00:00:00,91,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'Wrong order price!'}"
92,000001.SZSE,1,0.01,100,0,OrderCancel,0,2016-01-19 00:00:00,92,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'Wrong order price!'}"
93,000001.SZSE,1,0,100,100,AllMatched,10.7163555,2016-01-19 00:00:00,93,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
94,000001.SZSE,1,0,6000,0,OrderCancel,0,2016-01-19 00:00:00,94,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'CashAvailable not enough!'}"
95,000001.SZSE,1,0,100,100,AllMatched,10.7163555,2016-01-19 00:00:00,95,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
96,000001.SZSE,1,0,100,100,AllMatched,10.7163555,2016-01-19 00:00:00,96,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
97,000001.SZSE,1,0,10000000000,0,OrderCancel,0,2016-01-20 00:00:00,97,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'CashAvailable not enough!'}"
98,000001.SZSE,0,0,100,100,AllMatched,10.5337305,2016-01-20 00:00:00,98,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
99,000001.SZSE,1,100,100,0,OrderCancel,0,2016-01-20 00:00:00,99,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'Wrong order price!'}"
100,000001.SZSE,1,0.01,100,0,OrderCancel,0,2016-01-20 00:00:00,100,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'Wrong order price!'}"
101,000001.SZSE,1,0,100,100,AllMatched,10.5462705,2016-01-20 00:00:00,101,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
102,000001.SZSE,1,0,6000,0,OrderCancel,0,2016-01-20 00:00:00,102,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'CashAvailable not enough!'}"
103,000001.SZSE,1,0,100,100,AllMatched,10.5462705,2016-01-20 00:00:00,103,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
104,000001.SZSE,1,0,100,100,AllMatched,10.5462705,2016-01-20 00:00:00,104,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
105,000001.SZSE,1,0,10000000000,0,OrderCancel,0,2016-01-21 00:00:00,105,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'CashAvailable not enough!'}"
106,000001.SZSE,0,0,100,100,AllMatched,10.3138405,2016-01-21 00:00:00,106,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
107,000001.SZSE,1,100,100,0,OrderCancel,0,2016-01-21 00:00:00,107,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'Wrong order price!'}"
108,000001.SZSE,1,0.01,100,0,OrderCancel,0,2016-01-21 00:00:00,108,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'Wrong order price!'}"
109,000001.SZSE,1,0,100,100,AllMatched,10.3261605,2016-01-21 00:00:00,109,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
110,000001.SZSE,1,0,6000,0,OrderCancel,0,2016-01-21 00:00:00,110,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'CashAvailable not enough!'}"
111,000001.SZSE,1,0,100,100,AllMatched,10.3261605,2016-01-21 00:00:00,111,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
112,000001.SZSE,1,0,100,100,AllMatched,10.3261605,2016-01-21 00:00:00,112,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
113,000001.SZSE,1,0,10000000000,0,OrderCancel,0,2016-01-22 00:00:00,113,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'CashAvailable not enough!'}"
114,000001.SZSE,0,0,100,100,AllMatched,10.3938005,2016-01-22 00:00:00,114,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
115,000001.SZSE,1,100,100,0,OrderCancel,0,2016-01-22 00:00:00,115,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'Wrong order price!'}"
116,000001.SZSE,1,0.01,100,0,OrderCancel,0,2016-01-22 00:00:00,116,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'Wrong order price!'}"
117,000001.SZSE,1,0,100,100,AllMatched,10.4062005,2016-01-22 00:00:00,117,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
118,000001.SZSE,1,0,6000,0,OrderCancel,0,2016-01-22 00:00:00,118,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'CashAvailable not enough!'}"
119,000001.SZSE,1,0,100,0,OrderCancel,0,2016-01-22 00:00:00,119,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'CashAvailable not enough!'}"
120,000001.SZSE,1,0,100,0,OrderCancel,0,2016-01-22 00:00:00,120,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'CashAvailable not enough!'}"
121,000001.SZSE,1,0,10000000000,0,OrderCancel,0,2016-01-25 00:00:00,121,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'CashAvailable not enough!'}"
122,000001.SZSE,0,0,100,100,AllMatched,10.3638155,2016-01-25 00:00:00,122,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
123,000001.SZSE,1,100,100,0,OrderCancel,0,2016-01-25 00:00:00,123,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'Wrong order price!'}"
124,000001.SZSE,1,0.01,100,0,OrderCancel,0,2016-01-25 00:00:00,124,Mkt,<CounterMod.Account object at 0x0000000008346198>,"{'CashFrozen': 0, 'OrderCancelReson': 'Wrong order price!'}"
125,000001.SZSE,1,0,100,100,AllMatched,10.3761855,2016-01-25 00:00:00,125,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
